parent,name,displayName,description,synonyms,relatedTerms,references,tags
,Politicas,Politicas,Mecanismos pelos quais o MinC financia a atividade cultural. Cada um tem modelo de dados proprio.,,,,
,Agentes,Agentes,Quem realiza a acao cultural e quem se relaciona com o fomento.,,,,
,Cotas,Cotas,Reservas legais de recurso por perfil do agente. Meta 3.,,,,
,Identificadores,Identificadores,Chaves que ligam as bases entre si. Errar a normalizacao quebra o cruzamento em silencio.,,,,
,Qualificadores,Qualificadores,Conceitos que mudam a confianca em um numero ja calculado. Ler antes de citar percentual.,,,,
,IncentivoFiscal,Incentivo Fiscal,Conceitos proprios do incentivo fiscal a cultura (Lei Rouanet). Separados de Politicas porque descrevem o ciclo do projeto, nao o mecanismo de financiamento.,,,,
MinC.Politicas,LPG,Lei Paulo Gustavo,"Fomento direto emergencial ao setor cultural, com repasse a estados e municipios que executam via edital. Unica politica com cota territorial.",Lei Paulo Gustavo,,gov.br - Lei Paulo Gustavo;https://www.gov.br/cultura/pt-br/assuntos/lei-paulo-gustavo,
MinC.Politicas,PNAB,Politica Nacional Aldir Blanc,"Politica de fomento continuado a cultura, sucessora da Lei Aldir Blanc. Repasse fundo a fundo com execucao local por edital.",Aldir Blanc;Lei Aldir Blanc,,gov.br - PNAB;https://www.gov.br/cultura/pt-br/assuntos/pnab,
MinC.Politicas,Rouanet,Lei Rouanet,Incentivo fiscal: o projeto capta recurso de patrocinador que abate do imposto devido. Operada pelo sistema SALIC. Nao ha repasse direto do MinC ao agente.,Lei de Incentivo a Cultura;SALIC,,gov.br - Lei Rouanet;https://www.gov.br/cultura/pt-br/assuntos/lei-rouanet,
MinC.Politicas,FundoAFundo,Repasse Fundo a Fundo,"Transferencia do fundo nacional ao fundo do ente federado, sem convenio, mediante plano de acao. O beneficiario direto e o ente, nao o agente.",Transferencia Fundo a Fundo,,,
MinC.Agentes,AgenteCultural,Agente Cultural,"Pessoa fisica, juridica ou coletivo que realiza a atividade cultural. Nem todo agente cultural e proponente em um edital.",,,,
MinC.Agentes,Proponente,Proponente,Quem submete a proposta a um edital ou projeto. Identificado por CPF ou CNPJ. Um proponente pode representar varios agentes.,,MinC.Agentes.AgenteCultural,,
MinC.Agentes,AgenteColetivo,Agente Coletivo,"Grupo sem personalidade juridica, representado por uma pessoa fisica. A identificacao usa o CPF do representante, o que exige cuidado ao contar agentes distintos.",Coletivo,MinC.Agentes.Proponente,,
MinC.Agentes,Contemplado,Contemplado,"Proponente selecionado no edital. Ser contemplado nao implica ter recebido pagamento, e a diferenca entre os dois e o que a cobertura de pagamentos mede.",Selecionado,MinC.Qualificadores.CoberturaDePerfil,,
MinC.Agentes,PrimeiroAcesso,Primeiro Acesso,Agente sem registro anterior de acesso a fomento cultural federal. Indicador central da Meta 5. Depende do historico disponivel: ausencia de registro nao prova ausencia de acesso.,,MinC.Agentes.AgenteCultural,,
MinC.Cotas,CotaRacial,Cota Racial,"Reserva minima legal de 25% do valor para agentes negros (pretos e pardos), com base em autodeclaracao.",Cota Negra,MinC.Qualificadores.RacaNormalizada,,
MinC.Cotas,CotaIndigena,Cota Indigena,Reserva minima legal de 10% do valor para agentes indigenas com base em autodeclaracao.,,MinC.Qualificadores.RacaNormalizada,,
MinC.Cotas,CotaPCD,Cota PCD,Reserva minima legal de 5% do valor para agentes com deficiencia com base em autodeclaracao.,Cota Pessoa com Deficiencia,,,
MinC.Cotas,TerritorioVulnerabilizado,Territorio Vulnerabilizado,"Reserva de 20% do valor para agentes de territorios vulnerabilizados, definidos pela Concentracao Urbana do IBGE. Existe apenas na LPG.",Cota Territorial,MinC.Identificadores.FCU;MinC.Politicas.LPG,,
MinC.Cotas,ValorPonderado,Valor Ponderado,"Base de calculo das cotas: o percentual e sobre VALOR pago, nao sobre contagem de agentes. Um agente com pagamento alto pesa mais que varios com pagamento baixo.",,MinC.Cotas.CotaRacial,,
MinC.Identificadores,IdentificadorUnico,Identificador Unico,"CPF ou CNPJ do agente sem pontuacao, com zeros a esquerda preservados. E a chave que liga contemplados, perfis e pagamentos. Aparece em 12 modelos.",Documento,MinC.Agentes.Proponente,,
MinC.Identificadores,CodigoIBGE,Codigo IBGE do Municipio,"Codigo de municipio do IBGE com 7 digitos, incluindo o digito verificador. Bases que trazem 6 digitos nao cruzam sem tratamento.",Codigo Municipio,MinC.Identificadores.FCU,,
MinC.Identificadores,FCU,Concentracao Urbana,Recorte do IBGE (Censo 2022) que agrupa setores censitarios em concentracoes urbanas. Base da cota territorial da LPG.,Concentracao Urbana,MinC.Cotas.TerritorioVulnerabilizado,,
MinC.Identificadores,IdPlanoAcao,ID do Plano de Acao,"Identificador do plano de acao no TransfereGov. Chave de ligacao entre programa, metas, dados bancarios e execucao financeira.",,MinC.Politicas.FundoAFundo,,
MinC.Qualificadores,CoberturaDePerfil,Cobertura de Perfil,Fracao do valor pago cujo agente tem raca ou deficiencia conhecidas. E o teto de confiabilidade de qualquer percentual de cota: 25% sobre cobertura de 40% nao e comparavel a 25% sobre cobertura de 90%. Ler antes de citar numero de cota.,,MinC.Cotas.ValorPonderado,,
MinC.Qualificadores,RacaNormalizada,Raca Normalizada,Autodeclaracao de raca reduzida a categorias comparaveis entre bases. A normalizacao junta grafias e categorias equivalentes; o texto original fica preservado para auditoria.,,MinC.Cotas.CotaRacial,,
MinC.Qualificadores,OrigemDoAno,Origem do Ano,"Como o ano do edital foi inferido: do nome do edital, do anexo, do nome do arquivo, ou nao inferido. Muda a confianca da serie temporal, porque ano vindo de nome de arquivo e o mais fragil.",,,,
MinC.Identificadores,PRONAC,PRONAC,"Numero de identificacao do projeto na Lei Rouanet, com 7 posicoes: dois digitos de ano mais cinco de sequencial. Zero a esquerda faz parte da chave -- fonte que grava PRONAC como inteiro ja perdeu o zero, e o join falha em silencio.",Numero PRONAC,MinC.Politicas.Rouanet,,
MinC.IncentivoFiscal,ProjetoCultural,Projeto Cultural,"Projeto aprovado para captar recurso incentivado, identificado pelo PRONAC. Tem area, segmento, enquadramento e janela de execucao proprios; um proponente pode ter varios.",Projeto Rouanet,MinC.Identificadores.PRONAC,,
MinC.IncentivoFiscal,CaptacaoEfetiva,Captacao Efetiva,"Recurso que entrou no projeto por recibo de captacao junto a um incentivador. E a medida de recurso realizado na Rouanet -- valor aprovado ou autorizado e teto, nao realizacao. Captado, comprovado e pago sao tres medidas diferentes.",Captacao,MinC.Politicas.Rouanet,,
